name,testMethods,snapshotTestMethods,assertions,snapshotAssertions,hasOnlyFileST,hasOnlyInlineST,hasBothST
4catalyzer/astroturf,45,2,78,2,0,1,0
actualbudget/actual-server,79,4,107,4,0,1,0
adobe/react-spectrum,2536,1,10906,1,0,1,0
agraboso/redux-api-middleware,99,58,126,62,1,0,0
airbnb/react-sketchapp,135,50,232,50,1,0,0
ai/size-limit,166,67,233,70,1,0,0
aksonov/react-native-router-flux,5,3,3,3,1,0,0
alangpierce/sucrase,617,1,6,1,0,1,0
alexkuz/react-input-enhancements,12,12,12,12,1,0,0
algolia/algoliasearch-client-javascript,224,2,628,2,0,1,0
algolia/autocomplete,701,40,1122,58,0,1,0
algolia/instantsearch.js,1917,228,3803,288,0,0,1
algolia/instantsearch,4106,793,8084,943,0,0,1
algolia/places,136,3,271,3,1,0,0
algolia/react-instantsearch,1494,332,2992,367,0,0,1
alibaba/bizcharts,157,79,215,79,1,0,0
alibaba/chatui,280,2,373,2,1,0,0
alibaba/formily,630,2,2602,7,1,0,0
alibaba/hooks,330,1,1201,6,1,0,0
alibaba/rax,603,1,1329,3,1,0,0
alura/techguide,1,1,1,1,1,0,0
alxshelepenok/gatsby-starter-lumen,45,25,134,25,1,0,0
americanexpress/jest-image-snapshot,97,1,237,1,1,0,0
americanexpress/react-albus,19,6,25,6,1,0,0
amilajack/eslint-plugin-compat,11,8,13,9,0,0,1
amzn/style-dictionary,447,75,703,75,1,0,0
andarist/react-textarea-autosize,2,2,2,2,1,0,0
ankurk91/vue-loading-overlay,9,3,15,3,1,0,0
ant-design/ant-design-mobile-rn,32,2,39,2,1,0,0
ant-design/ant-design-mobile,441,44,801,53,1,0,0
ant-design/ant-design-pro,2,2,3,2,1,0,0
ant-design/ant-design,1395,267,2506,326,0,0,1
ant-design/pro-components,750,120,1473,127,0,0,1
anthonyjgrove/react-google-login,48,24,48,24,1,0,0
anuraghazra/github-readme-stats,145,5,326,9,0,0,1
apexcharts/react-apexcharts,2,1,1,1,1,0,0
apihero-run/jsonhero-web,19,10,46,11,0,1,0
apollographql/apollo-cache-persist,14,4,21,4,1,0,0
apollographql/apollo-tooling,515,176,832,197,0,0,1
arackaf/customize-cra,52,39,72,39,1,0,0
arb/celebrate,41,4,81,4,1,0,0
argos-ci/jest-puppeteer,82,1,184,1,1,0,0
arqex/react-datetime,147,25,320,25,1,0,0
artsy/eigen,2583,139,4595,190,0,1,0
ashutosh00710/github-readme-activity-graph,9,3,34,4,1,0,0
astroturfcss/astroturf,45,2,78,2,0,1,0
atlassian/changesets,254,13,548,19,0,0,1
atomiks/tippyjs-react,37,4,68,5,1,0,0
atomiks/tippyjs,299,11,531,11,1,0,0
auth0/lock,739,54,876,54,1,0,0
autodesk/react-base-table,22,22,22,22,1,0,0
automattic/simplenote-electron,72,1,110,1,1,0,0
automattic/wp-calypso,11680,93,14053,96,0,0,1
awslabs/diagram-maker,699,91,785,91,1,0,0
axe312ger/sqip,60,25,126,27,1,0,0
babel/babel-upgrade,39,37,44,38,1,0,0
babel/minify,42,18,50,20,1,0,0
baidu/amis,830,419,2541,553,0,0,1
balajmarius/svg2jsx,15,15,40,15,1,0,0
banga/git-split-diffs,58,17,86,18,0,0,1
bartonhammond/snowflake,85,7,137,7,1,0,0
bearer/pizzly,230,56,228,58,0,0,1
beefe/react-native-actionsheet,3,2,3,2,1,0,0
beekai-oss/react-simple-animate,31,5,53,5,1,0,0
birkir/prime,111,1,150,1,1,0,0
blocks/blocks,52,1,65,1,1,0,0
bluebill1049/react-simple-animate,30,5,51,5,1,0,0
boardgameio/boardgame.io,810,1,1689,1,0,1,0
boostio/boostnote-legacy,134,19,314,21,1,0,0
boostio/boostnote,134,19,314,21,1,0,0
bottenderjs/messaging-apis,681,4,1381,4,1,0,0
brh55/react-native-masonry,6,1,13,1,1,0,0
brimdata/brim,556,6,812,6,0,1,0
brimdata/zui,425,4,625,4,0,1,0
btd/rollup-plugin-visualizer,2,1,6,3,1,0,0
buildo/react-placeholder,27,27,53,31,1,0,0
cacjs/cac,10,1,15,1,1,0,0
caiogondim/logdown.js,81,3,122,3,1,0,0
calendso/calendso,24,1,31,1,1,0,0
calibreapp/image-actions,5,2,6,2,1,0,0
callstack/haul,76,12,262,12,1,0,0
callstack/react-native-paper,702,164,871,164,1,0,0
captbaritone/webamp,306,33,415,33,0,0,1
carbon-design-system/carbon-components-react,1120,80,1534,91,0,0,1
carloscuesta/gitmoji-cli,111,17,142,17,1,0,0
cartodb/cartodb,8037,179,14618,184,1,0,0
casesandberg/react-color,121,59,180,59,1,0,0
casesandberg/reactcss,21,3,22,3,1,0,0
chakra-ui/chakra-ui-vue,195,79,291,87,1,0,0
chakra-ui/chakra-ui,570,113,1155,154,0,1,0
changesets/changesets,321,38,682,48,0,0,1
chanind/hanzi-writer,186,9,603,9,1,0,0
chimurai/http-proxy-middleware,168,6,223,6,0,1,0
clintonwoo/hackernews-react-graphql,64,5,65,5,1,0,0
cloud-annotations/cloud-annotations,9,7,16,14,0,1,0
cloudflare/cf-ui,274,176,464,299,1,0,0
coinbase/rest-hooks,958,247,2096,377,0,0,1
computerjazz/react-native-draggable-flatlist,3,1,3,1,1,0,0
